time_s,envelope
1.370000000000000000e+02,1.927739127811215480e+00
1.380000000000000000e+02,2.256768605423913776e+00
1.390000000000000000e+02,2.558806309689246383e+00
1.400000000000000000e+02,2.744367037603412829e+00
1.410000000000000000e+02,2.766944420426972862e+00
1.420000000000000000e+02,2.617723387577817640e+00
1.430000000000000000e+02,2.319830278888920017e+00
1.440000000000000000e+02,1.936388628361830788e+00
1.450000000000000000e+02,1.583419120522236767e+00
1.460000000000000000e+02,1.433364746312924654e+00
1.470000000000000000e+02,1.581690061567052163e+00
1.480000000000000000e+02,1.907913961387859070e+00
1.490000000000000000e+02,2.243986596020365099e+00
1.500000000000000000e+02,2.485679592732873200e+00
1.510000000000000000e+02,2.584421194919099829e+00
1.520000000000000000e+02,2.523109473874721065e+00
1.530000000000000000e+02,2.316502997973178157e+00
1.540000000000000000e+02,2.006583887099354424e+00
1.550000000000000000e+02,1.679496771249182840e+00
1.560000000000000000e+02,1.477006781455830531e+00
1.570000000000000000e+02,1.535602053229412123e+00
1.580000000000000000e+02,1.824583831859833971e+00
1.590000000000000000e+02,2.188708893306046566e+00
1.600000000000000000e+02,2.503232672073477438e+00
1.610000000000000000e+02,2.691834143806016932e+00
1.620000000000000000e+02,2.722313144832986698e+00
1.630000000000000000e+02,2.590730651493546421e+00
1.640000000000000000e+02,2.333761219634864048e+00
1.650000000000000000e+02,2.028042257540225712e+00
1.660000000000000000e+02,1.802598158312953336e+00
1.670000000000000000e+02,1.792683361104813855e+00
1.680000000000000000e+02,2.010455455585887563e+00
1.690000000000000000e+02,2.332770109190533958e+00
1.700000000000000000e+02,2.623248066179186377e+00
1.710000000000000000e+02,2.797877291542892220e+00
1.720000000000000000e+02,2.810262741975325884e+00
1.730000000000000000e+02,2.658392767293149106e+00
1.740000000000000000e+02,2.368915254047019747e+00
1.750000000000000000e+02,2.015772102587696679e+00
1.760000000000000000e+02,1.721662178397823206e+00
1.770000000000000000e+02,1.638849863927164252e+00
1.780000000000000000e+02,1.812409094357519956e+00
1.790000000000000000e+02,2.116454541026007163e+00
1.800000000000000000e+02,2.404492820658247876e+00
1.810000000000000000e+02,2.579330372779515823e+00
1.820000000000000000e+02,2.600700189066987633e+00
1.830000000000000000e+02,2.455410254480524301e+00
1.840000000000000000e+02,2.170170840829091397e+00
1.850000000000000000e+02,1.793731823760682742e+00
1.860000000000000000e+02,1.420731296107497377e+00
1.870000000000000000e+02,1.203952882173538796e+00
1.880000000000000000e+02,1.279779218774648619e+00
1.890000000000000000e+02,1.580085688503525265e+00
1.900000000000000000e+02,1.937149613555137151e+00
1.910000000000000000e+02,2.249207388549939513e+00
1.920000000000000000e+02,2.454935101953581444e+00
1.930000000000000000e+02,2.531877270441833971e+00
1.940000000000000000e+02,2.466903781377009608e+00
1.950000000000000000e+02,2.284818486049347452e+00
1.960000000000000000e+02,2.043760802568732604e+00
1.970000000000000000e+02,1.859018160952152110e+00
1.980000000000000000e+02,1.870918718898725297e+00
1.990000000000000000e+02,2.114296996524768879e+00
2.000000000000000000e+02,2.484472634871726537e+00
2.010000000000000000e+02,2.833411684683889931e+00
2.020000000000000000e+02,3.064838794718211190e+00
2.030000000000000000e+02,3.114541882051033994e+00
2.040000000000000000e+02,2.980756086462584165e+00
2.050000000000000000e+02,2.693207271112175061e+00
2.060000000000000000e+02,2.345860078937128002e+00
2.070000000000000000e+02,2.073608302974635276e+00
2.080000000000000000e+02,2.013373662613102244e+00
2.090000000000000000e+02,2.175100447471675746e+00
2.100000000000000000e+02,2.428323858285600600e+00
2.110000000000000000e+02,2.639369983855742507e+00
2.120000000000000000e+02,2.717713943621266726e+00
2.130000000000000000e+02,2.640354656518164145e+00
2.140000000000000000e+02,2.401474815534006879e+00
2.150000000000000000e+02,2.044614006623437508e+00
2.160000000000000000e+02,1.619801841939050968e+00
2.170000000000000000e+02,1.226434618704863810e+00
2.180000000000000000e+02,1.019180835785657324e+00
2.190000000000000000e+02,1.118992140265159918e+00
2.200000000000000000e+02,1.414077197526437235e+00
2.210000000000000000e+02,1.733516282579347756e+00
2.220000000000000000e+02,1.996473251753067002e+00
2.230000000000000000e+02,2.150469736450532299e+00
2.240000000000000000e+02,2.192658540904372622e+00
2.250000000000000000e+02,2.108962172984784722e+00
2.260000000000000000e+02,1.927706011981801471e+00
2.270000000000000000e+02,1.685698333491798762e+00
2.280000000000000000e+02,1.462119243352480114e+00
2.290000000000000000e+02,1.391058178652735844e+00
2.300000000000000000e+02,1.555226382012838915e+00
2.310000000000000000e+02,1.919042739695768329e+00
2.320000000000000000e+02,2.343461729628050882e+00
2.330000000000000000e+02,2.745927201945086438e+00
2.340000000000000000e+02,3.031836403386467982e+00
2.350000000000000000e+02,3.175341100725657117e+00
2.360000000000000000e+02,3.147383886541682330e+00
2.370000000000000000e+02,2.989512174889772389e+00
2.380000000000000000e+02,2.796461328895052834e+00
2.390000000000000000e+02,2.714182817868052489e+00
2.400000000000000000e+02,2.882816088061202819e+00
2.410000000000000000e+02,3.261731501607497918e+00
2.420000000000000000e+02,3.722972122087155888e+00
2.430000000000000000e+02,4.072327165623067735e+00
2.440000000000000000e+02,4.227695048370674336e+00
2.450000000000000000e+02,4.092127380770146594e+00
2.460000000000000000e+02,3.720014193364364008e+00
2.470000000000000000e+02,3.168809139077850112e+00
2.480000000000000000e+02,2.676951484248045077e+00
2.490000000000000000e+02,2.497535442644091219e+00
2.500000000000000000e+02,2.767439895549622442e+00
2.510000000000000000e+02,3.221658991757194723e+00
2.520000000000000000e+02,3.595235507546560072e+00
2.530000000000000000e+02,3.695667922126865346e+00
2.540000000000000000e+02,3.399092182389765071e+00
2.550000000000000000e+02,2.623718323868591273e+00
