time_s,inst_freq_hz
5.500000000000000000e+01,3.068973777164920799e-02
5.600000000000000000e+01,5.118520741667211688e-02
5.700000000000000000e+01,6.345358252304882096e-02
5.800000000000000000e+01,6.885472521691489434e-02
5.900000000000000000e+01,7.000726567307614945e-02
6.000000000000000000e+01,6.750736399609319482e-02
6.100000000000000000e+01,6.020141927720269737e-02
6.200000000000000000e+01,4.718714310672803003e-02
6.300000000000000000e+01,2.834534529217528145e-02
6.400000000000000000e+01,1.796166522635712220e-02
6.500000000000000000e+01,2.784837004059175988e-02
6.600000000000000000e+01,4.607738422947275231e-02
6.700000000000000000e+01,5.868214404080988184e-02
6.800000000000000000e+01,6.551598446965127553e-02
6.900000000000000000e+01,6.788223723411911104e-02
7.000000000000000000e+01,6.658458988162974101e-02
7.100000000000000000e+01,6.137317968378489669e-02
7.200000000000000000e+01,5.004016701620758040e-02
7.300000000000000000e+01,3.269390461993935265e-02
7.400000000000000000e+01,1.804142332456158335e-02
7.500000000000000000e+01,2.450082923749368619e-02
7.600000000000000000e+01,4.316172651188561471e-02
7.700000000000000000e+01,5.836985415381384934e-02
7.800000000000000000e+01,6.669733418429264760e-02
7.900000000000000000e+01,7.031418797720614955e-02
8.000000000000000000e+01,7.031062103466838298e-02
8.100000000000000000e+01,6.637387434614232251e-02
8.200000000000000000e+01,5.710955628777739101e-02
8.300000000000000000e+01,3.829641329559131668e-02
8.400000000000000000e+01,1.215319781613502688e-02
8.500000000000000000e+01,4.905918327307085512e-03
8.600000000000000000e+01,2.824755789644722154e-02
8.700000000000000000e+01,5.028737975233516649e-02
8.800000000000000000e+01,6.233077703148071080e-02
8.900000000000000000e+01,6.748474314316553480e-02
9.000000000000000000e+01,6.843312346907644284e-02
9.100000000000000000e+01,6.579109170068517254e-02
9.200000000000000000e+01,5.850143323508590759e-02
9.300000000000000000e+01,4.507237606990369821e-02
9.400000000000000000e+01,2.628235449351582972e-02
9.500000000000000000e+01,1.706834963877569208e-02
9.600000000000000000e+01,2.914734941771335644e-02
9.700000000000000000e+01,4.784667437720337840e-02
9.800000000000000000e+01,6.039992466126465481e-02
9.900000000000000000e+01,6.685743435087401765e-02
1.000000000000000000e+02,6.882944150064161659e-02
1.010000000000000000e+02,6.705100340935686576e-02
1.020000000000000000e+02,6.108725206428299026e-02
1.030000000000000000e+02,4.910217654826418143e-02
1.040000000000000000e+02,3.129514418080332067e-02
1.050000000000000000e+02,1.795369851251804594e-02
1.060000000000000000e+02,2.536467452820019911e-02
1.070000000000000000e+02,4.363508314559725459e-02
1.080000000000000000e+02,5.793327800039485553e-02
1.090000000000000000e+02,6.587678787163703253e-02
1.100000000000000000e+02,6.931760517948572231e-02
1.110000000000000000e+02,6.924049925086413204e-02
1.120000000000000000e+02,6.527700471372897828e-02
1.130000000000000000e+02,5.553446576699173909e-02
1.140000000000000000e+02,3.607723310185376175e-02
1.150000000000000000e+02,1.040439466845220241e-02
1.160000000000000000e+02,7.463406859892562223e-03
1.170000000000000000e+02,3.225726992831023238e-02
1.180000000000000000e+02,5.349669258300361607e-02
1.190000000000000000e+02,6.466843614499667714e-02
1.200000000000000000e+02,6.935922187882433143e-02
1.210000000000000000e+02,6.991761017154057845e-02
1.220000000000000000e+02,6.681539674211670055e-02
1.230000000000000000e+02,5.902956661909278951e-02
1.240000000000000000e+02,4.463446109036831033e-02
1.250000000000000000e+02,2.496257000389404818e-02
1.260000000000000000e+02,1.574351377386167677e-02
1.270000000000000000e+02,2.901498866127320136e-02
1.280000000000000000e+02,4.786992152149519703e-02
1.290000000000000000e+02,6.023408748255354439e-02
1.300000000000000000e+02,6.634740322684380687e-02
1.310000000000000000e+02,6.807258679205668850e-02
1.320000000000000000e+02,6.610267407758675662e-02
1.330000000000000000e+02,5.983291988575200476e-02
1.340000000000000000e+02,4.770823027557346413e-02
1.350000000000000000e+02,2.999440137634703726e-02
1.360000000000000000e+02,1.801048689911090642e-02
1.370000000000000000e+02,2.619960671972943952e-02
1.380000000000000000e+02,4.418794133763449122e-02
1.390000000000000000e+02,5.780252090007676619e-02
1.400000000000000000e+02,6.534463980059877775e-02
1.410000000000000000e+02,6.841175521013255489e-02
1.420000000000000000e+02,6.790824323039640342e-02
1.430000000000000000e+02,6.346456582198328755e-02
1.440000000000000000e+02,5.296495687884900105e-02
1.450000000000000000e+02,3.364777167794275742e-02
1.460000000000000000e+02,1.154705219549081487e-02
1.470000000000000000e+02,1.328911487175446320e-02
1.480000000000000000e+02,3.646910486972431559e-02
1.490000000000000000e+02,5.566243408109546736e-02
1.500000000000000000e+02,6.595417874205992959e-02
1.510000000000000000e+02,7.048943083324453462e-02
1.520000000000000000e+02,7.105362598927862650e-02
1.530000000000000000e+02,6.783751784544754526e-02
1.540000000000000000e+02,5.974044143286930120e-02
1.550000000000000000e+02,4.406723495398331275e-02
1.560000000000000000e+02,2.256323109513471564e-02
1.570000000000000000e+02,1.334006232007292798e-02
1.580000000000000000e+02,2.929712402464117529e-02
1.590000000000000000e+02,4.903255380131327917e-02
1.600000000000000000e+02,6.116865916991085644e-02
1.610000000000000000e+02,6.668796189928101470e-02
1.620000000000000000e+02,6.786661785942728342e-02
1.630000000000000000e+02,6.545264858204705161e-02
1.640000000000000000e+02,5.873455452856224390e-02
1.650000000000000000e+02,4.665472162143203400e-02
1.660000000000000000e+02,2.973401009638930448e-02
1.670000000000000000e+02,1.950755996534468684e-02
1.680000000000000000e+02,2.753415803446365717e-02
1.690000000000000000e+02,4.431495801862833650e-02
1.700000000000000000e+02,5.691735348030486918e-02
1.710000000000000000e+02,6.393901179136812774e-02
1.720000000000000000e+02,6.650221861630481457e-02
1.730000000000000000e+02,6.533304507623649560e-02
1.740000000000000000e+02,6.010425462060532686e-02
1.750000000000000000e+02,4.880165933130092837e-02
1.760000000000000000e+02,3.116629409729140820e-02
1.770000000000000000e+02,1.595669581236237172e-02
1.780000000000000000e+02,2.199943292554557700e-02
1.790000000000000000e+02,4.099131431645700041e-02
1.800000000000000000e+02,5.669623954584380315e-02
1.810000000000000000e+02,6.556015183654001488e-02
1.820000000000000000e+02,6.985603540117339694e-02
1.830000000000000000e+02,7.065811904950385081e-02
1.840000000000000000e+02,6.769234698066772804e-02
1.850000000000000000e+02,5.956788675137333899e-02
1.860000000000000000e+02,4.163998982675974625e-02
1.870000000000000000e+02,1.547643052215583008e-02
1.880000000000000000e+02,7.315333371929333937e-03
1.890000000000000000e+02,3.191748407117604713e-02
1.900000000000000000e+02,5.491274349178733999e-02
1.910000000000000000e+02,6.725802545899269014e-02
1.920000000000000000e+02,7.204630582299137442e-02
1.930000000000000000e+02,7.235587958766673267e-02
1.940000000000000000e+02,6.916077326867782482e-02
1.950000000000000000e+02,6.159272289281355478e-02
1.960000000000000000e+02,4.924504400494786327e-02
1.970000000000000000e+02,3.186021377731918652e-02
1.980000000000000000e+02,2.019661223365250627e-02
1.990000000000000000e+02,2.519408123192118029e-02
2.000000000000000000e+02,4.028374789218680530e-02
2.010000000000000000e+02,5.206065483562778012e-02
2.020000000000000000e+02,5.863290926588304863e-02
2.030000000000000000e+02,6.072803590226647646e-02
2.040000000000000000e+02,5.902048781422995077e-02
2.050000000000000000e+02,5.352088760384058480e-02
2.060000000000000000e+02,4.258907437791366324e-02
2.070000000000000000e+02,2.835326320462654842e-02
2.080000000000000000e+02,1.896546008834855759e-02
2.090000000000000000e+02,2.655941072186976393e-02
2.100000000000000000e+02,4.213951137217723797e-02
2.110000000000000000e+02,5.584482828562357948e-02
2.120000000000000000e+02,6.409207518464545006e-02
2.130000000000000000e+02,6.868269870242928177e-02
2.140000000000000000e+02,6.995798645612417987e-02
2.150000000000000000e+02,6.719711445805884309e-02
2.160000000000000000e+02,5.894481594750274750e-02
2.170000000000000000e+02,3.822550049040320669e-02
2.180000000000000000e+02,8.059691306901213548e-03
2.190000000000000000e+02,3.088820589683816033e-03
2.200000000000000000e+02,3.559191501652145262e-02
2.210000000000000000e+02,5.942171493926431958e-02
2.220000000000000000e+02,7.197750750520619245e-02
2.230000000000000000e+02,7.688138920830173140e-02
2.240000000000000000e+02,7.805724781868994544e-02
2.250000000000000000e+02,7.650231166990728582e-02
2.260000000000000000e+02,7.055119147094811305e-02
2.270000000000000000e+02,6.064454898569307528e-02
2.280000000000000000e+02,4.221163192152316973e-02
2.290000000000000000e+02,2.390601064438866233e-02
2.300000000000000000e+02,2.121798510543084285e-02
2.310000000000000000e+02,3.814471646437522095e-02
2.320000000000000000e+02,5.308214691320235074e-02
2.330000000000000000e+02,6.144176998913798704e-02
2.340000000000000000e+02,6.430181346427714384e-02
2.350000000000000000e+02,6.272632367274613707e-02
2.360000000000000000e+02,5.857911385942320137e-02
2.370000000000000000e+02,4.939241338326838537e-02
2.380000000000000000e+02,3.765594433239075056e-02
2.390000000000000000e+02,2.398838954614848640e-02
2.400000000000000000e+02,2.055216023493007180e-02
2.410000000000000000e+02,2.765535024676698053e-02
2.420000000000000000e+02,3.965626087005057893e-02
2.430000000000000000e+02,4.762660371070060600e-02
2.440000000000000000e+02,5.182294603921790144e-02
2.450000000000000000e+02,5.195633959464504570e-02
2.460000000000000000e+02,4.708465702623969296e-02
2.470000000000000000e+02,3.708108217851616151e-02
2.480000000000000000e+02,1.700138771622507552e-02
2.490000000000000000e+02,4.757402050112027251e-04
2.500000000000000000e+02,4.193844645706604896e-03
2.510000000000000000e+02,2.862620685707056509e-02
2.520000000000000000e+02,4.489288397936491010e-02
2.530000000000000000e+02,5.864067411806549862e-02
2.540000000000000000e+02,6.527924058876886926e-02
2.550000000000000000e+02,7.853518576101914395e-02
